日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-25,18:00,80-87公斤級,男,桃園市立體育館,,,決賽,19:00結束
2017-08-25,18:00,67-73公斤級,女,桃園市立體育館,,,決賽,19:00結束
2017-08-25,18:00,58-63公斤級,男,桃園市立體育館,,,決賽,19:00結束
2017-08-25,18:00,49-53公斤級,女,桃園市立體育館,,,決賽,19:00結束
2017-08-25,19:30,頒獎典禮,,桃園市立體育館,,,頒獎典禮,
2017-08-25,15:00,團體對打賽,,桃園市立體育館,,,過磅,17:00結束
2017-08-26,09:00,團體對打,男,桃園市立體育館,,,預賽,12:00結束
2017-08-26,09:00,團體對打,女,桃園市立體育館,,,預賽,12:00結束
2017-08-26,13:30,團體對打,男,桃園市立體育館,,,準決賽,17:30結束
2017-08-26,13:30,團體對打,女,桃園市立體育館,,,準決賽,17:30結束
2017-08-26,18:00,團體對打,男,桃園市立體育館,,,決賽,19:00結束
2017-08-26,18:00,團體對打,女,桃園市立體育館,,,決賽,19:00結束
2017-08-26,19:30,頒獎典禮,,桃園市立體育館,,,頒獎典禮,
